BPW34_2,Inano_1,Inano_2
-0.06796092571175327,-0.03019634525894821,0.07737146778904203
-0.06751423987366367,-0.029759438243559977,0.07821024293161782
-0.06708185474235062,-0.029340896172767028,0.0790220858242332
-0.06666398866351253,-0.028941325674295193,0.0798060426130518
-0.06626085459699471,-0.028561300268560963,0.08056124491694394
-0.06587268723950368,-0.0282014701108646,0.08128666607630475
-0.06549965419225456,-0.0278623442889101,0.08198154323512252
-0.06514197609898353,-0.027544537507733224,0.08264492668487922
-0.0647998076081926,-0.02724855600855758,0.0832760447534504
-0.06447331442256576,-0.02697490190266061,0.0838741559845384
-0.06416265829099199,-0.02672409697500422,0.08443845637697
-0.06386794017114594,-0.02649652621292642,0.08496840425489083
-0.06358930828879883,-0.02629266740705294,0.08546328078468646
-0.06332682725384542,-0.026112846549946944,0.08592262928497085
-0.06308058800567196,-0.02595741304631094,0.08634596539013106
-0.06285064925194916,-0.02582667633523128,0.08673284581821106
-0.06263702261592652,-0.02572082970992895,0.08708305498105462
-0.06243975442578442,-0.025640134226491806,0.08739623231847249
-0.062258798607151444,-0.025584675600622386,0.08767232910030076
-0.06209414866653873,-0.0255545868608138,0.0879112144717511
-0.06194573965098771,-0.025549907858089416,0.08811289525566757
-0.06181348069823667,-0.02557059775928039,0.08827754150482292
-0.06169729834969395,-0.02561665086628384,0.08840522738375478
-0.06159702977658332,-0.02568788636917363,0.08849634664727635
-0.06151256189321597,-0.025784189002848734,0.08855116591438295
-0.06144370345572003,-0.025905311382124374,0.08857016545205365
-0.0613902645124087,-0.026050971686258695,0.08855390220854531
-0.061352052971557214,-0.026220888176226254,0.08850289584155524
-0.061328803371280216,-0.0264146282452149,0.08841795013059839
-0.06132030583043013,-0.02663183563655469,0.08829971134976988
-0.061326262665502895,-0.0268720026692848,0.08814908460153337
-0.06134640773372935,-0.027134638289421975,0.08796695432239554
-0.06138045353400434,-0.02741921900735189,0.08775422780465725
-0.061428067041096046,-0.027725115175647908,0.08751202297332705
-0.06148897108567963,-0.02805177562219452,0.08724128843759749
-0.06156280303425321,-0.028398500183488107,0.08694324085131466
-0.06164926090362499,-0.02876465407579465,0.08661898147385472
-0.06174800477214859,-0.029149544118987958,0.08626968883661013
-0.06185868549229401,-0.029552429274625425,0.08589665172106331
-0.06198100352620228,-0.029972639857910544,0.0855009985802333
-0.062114588131804815,-0.03040937990287329,0.0850840998046154
-0.062259152405173435,-0.03086195804507552,0.08464713206797647
-0.06241435931479922,-0.03132960767694071,0.08419139248036744
-0.06257990206861086,-0.031811577046852335,0.08371817658959957
-0.06275551031551219,-0.032307169640530375,0.08322864958411902
-0.06294086656160047,-0.032815600893679076,0.08272416331350829
-0.063135749879355,-0.03333621431224598,0.08220582598088111
-0.0633398824655571,-0.03386827124308445,0.08167489479001988
-0.06355305309172499,-0.03441110501565925,0.08113251933198873
-0.0637750674250328,-0.03496408032753617,0.08057976742715534
-0.0640057141267496,-0.03552652052922989,0.08001781930353014
-0.06424487748211627,-0.03609788084234955,0.07944759789878741
-0.06449238406431634,-0.036677536804359256,0.0788701876943172
-0.06474815417779123,-0.03726497869704204,0.0782864810041346
-0.06501210090951703,-0.037859699210257336,0.07769735026110469
-0.06528415195166648,-0.03846119719007479,0.07710369903085201
-0.06556431496430459,-0.039069087007430614,0.07650619820948457
-0.0658525448842302,-0.0396829138513044,0.0759056767232047
-0.06614890363513437,-0.04030236010520527,0.07530271967177127
-0.06645342015680811,-0.0409270803158277,0.07469795942035251
-0.06676616627663368,-0.0415567763291822,0.07409198265217443
-0.06708726486170269,-0.04219123187037788,0.0734852017551142
-0.06741679617713192,-0.04283017781705167,0.07287816860868901
