FULL PER-BAND NOISE-FLOOR TABLE
Fs = 5000.00 Hz  carrier = 930.500 Hz  Nyquist = 2500.0 Hz
record = 150000 samples (30.0 s)  Welch NFFT = 8192  bin = 0.610 Hz
candidate carrier-free bands = 106  (guard ±3.0 Hz from every comb line)
'clean' = no bin > band-median + 6.0 dB;  bw_ratio = density spread across halfwidths [2, 5, 10, 20]

========================================================================
BPW34_1
========================================================================
 center Hz   density mV^2/Hz  worst dB  bw_ratio   clean
    2240.8         4.781e-04       1.5      1.09     yes
    1057.8         4.899e-04       1.2      1.00     yes
    2467.0         4.985e-04      11.4      1.16     NO*
    1569.5         5.049e-04       1.6      1.00     yes
    1094.2         5.244e-04       0.9      1.00     yes
    2489.2         5.350e-04       2.6      1.12     yes
     986.5         5.350e-04       0.9      1.08     yes
    2441.2         5.451e-04       2.5      1.04     yes
     784.0         5.556e-04       4.4      1.02     yes
     857.2         5.579e-04       1.9      1.00     yes
    2358.2         5.581e-04       1.6      1.02     yes
    2286.0         5.582e-04       5.9      1.02     yes
    1115.8         5.665e-04       1.8      1.18     yes
     892.2         5.706e-04       5.0      1.00     yes
     471.0         5.739e-04       2.0      1.08     yes
     761.2         5.748e-04      10.4      1.06     NO*
    1140.8         5.767e-04       1.5      1.10     yes
     672.0         5.831e-04      12.3      1.07     NO*
    2264.5         5.853e-04       3.0      1.03     yes
    1077.0         5.869e-04       3.6      1.09     yes
     633.8         5.909e-04       2.2      1.17     yes
     527.0         5.930e-04       2.6      1.10     yes
     560.8         5.979e-04       1.1      1.14     yes
     809.2         6.009e-04       1.7      1.04     yes
     718.0         6.016e-04       3.3      1.00     yes
    2383.2         6.038e-04       9.4      1.05     NO*
     830.0         6.141e-04       8.1      1.02     NO*
     965.0         6.143e-04       2.6      1.04     yes
     874.5         6.154e-04       4.1      1.09     yes
    2310.2         6.175e-04       2.5      1.03     yes
     336.0         6.182e-04       1.0      1.13     yes
    1188.8         6.211e-04       2.5      1.05     yes
    2421.0         6.215e-04       1.2      1.07     yes
    1681.5         6.239e-04       1.2      1.10     yes
    1637.0         6.251e-04       1.1      1.00     yes
    2192.8         6.277e-04       1.7      1.00     yes
    1543.2         6.288e-04       1.1      1.00     yes
    2174.0         6.307e-04       1.5      1.01     yes
     655.2         6.361e-04       1.5      1.00     yes
    1331.2         6.362e-04       1.8      1.04     yes
    1458.8         6.421e-04       1.6      1.02     yes
    2332.0         6.473e-04       2.3      1.26     yes
     608.8         6.494e-04       1.0      1.03     yes
    1222.0         6.508e-04       1.5      1.20     yes
     242.8         6.535e-04       2.1      1.00     yes
     739.8         6.538e-04       1.2      1.00     yes
    2062.0         6.562e-04       3.8      1.03     yes
    1258.2         6.590e-04       1.2      1.09     yes
    1367.0         6.649e-04       1.7      1.02     yes
    1436.0         6.679e-04       1.4      1.14     yes
     360.2         6.693e-04       2.7      1.00     yes
    1009.8         6.799e-04       7.3      1.15     NO*
     583.0         6.812e-04       2.9      1.15     yes
     135.0         6.828e-04       1.8      1.21     yes
     224.0         6.880e-04       1.6      1.00     yes
    1278.0         6.963e-04       5.0      1.07     yes
     382.0         6.964e-04       1.8      1.05     yes
    2220.0         6.966e-04       1.9      1.05     yes
     313.0         7.029e-04       1.3      1.07     yes
    1743.8         7.030e-04       1.3      1.00     yes
    1726.0         7.055e-04       1.4      1.09     yes
    1707.2         7.078e-04       0.8      1.00     yes
     491.2         7.089e-04       1.6      1.00     yes
    1166.0         7.091e-04       2.3      1.28     yes
    2156.2         7.167e-04       1.8      1.00     yes
    1589.8         7.248e-04       2.1      1.06     yes
    1479.0         7.266e-04       1.3      1.00     yes
    1660.8         7.282e-04       1.7      1.07     yes
    1413.0         7.290e-04       2.3      1.03     yes
     270.0         7.304e-04       1.2      1.10     yes
    1389.2         7.422e-04       1.8      1.14     yes
    1525.0         7.497e-04       1.5      1.12     yes
    1614.0         7.546e-04       1.2      1.02     yes
    1031.0         7.603e-04       9.5      1.33     NO*
     691.8         7.737e-04       5.9      1.30     yes
     159.8         7.832e-04       1.6      1.07     yes
    1506.8         7.854e-04       1.4      1.00     yes
    1884.0         8.178e-04       1.0      1.00     yes
    2085.0         8.400e-04       1.2      1.12     yes
     112.0         8.454e-04       9.7      1.02     NO*
    1294.8         8.598e-04       1.0      1.00     yes
     290.8         8.950e-04       0.8      1.04     yes
     206.2         8.951e-04       1.7      1.00     yes
    1306.2         9.070e-04       0.8      1.00     yes
     194.8         9.325e-04       1.0      1.00     yes
      88.8         9.799e-04       1.4      1.08     yes
     179.5         9.885e-04       5.5      1.48     yes
    1838.0         1.071e-03       2.0      1.07     yes
    1955.8         1.105e-03       1.0      1.00     yes
      63.8         1.187e-03      14.9      1.05     NO*
    1755.2         1.197e-03       1.5      1.00     yes
     919.0         1.282e-03      19.8      1.11     NO*
    2109.8         1.297e-03       3.3      1.10     yes
    2028.8         1.319e-03       6.4      1.00     NO*
    1944.2         1.374e-03       0.8      1.00     yes
    2131.0         1.450e-03       2.6      1.01     yes
      42.2         1.476e-03       2.6      1.00     yes
    1919.2         1.652e-03       2.9      1.07     yes
     940.2         1.933e-03      18.4      1.01     NO*
    1973.0         2.894e-03       3.0      1.04     yes
      27.2         3.034e-03       3.7      1.00     yes
    1813.2         4.309e-03       4.0      1.03     yes
    1772.0         4.688e-03       3.1      1.02     yes
    1992.2         5.663e-03       3.4      1.00     yes
    1791.8         1.009e-02       1.9      1.08     yes
    1861.2         1.277e-02      24.7     25.45     NO*
  consensus floor = 6.812e-04 mV^2/Hz over 93 clean bands  ->  Var(n) = 0.0027 mV^2  (RMS 52.2 uV)
  carrier a = 169.399 mV  ->  SNR = 67.2 dB in the 4 Hz demod band
